config,variant_type,condition,condition_value,BA_condition,n_total,n_speech,n_nonspeech
baseline,duration,dur_1000ms,1000,0.6360824742268041,970,485,485
baseline,duration,dur_100ms,100,0.7051546391752578,970,485,485
baseline,duration,dur_200ms,200,0.6350515463917525,970,485,485
baseline,duration,dur_20ms,20,0.5876288659793815,970,485,485
baseline,duration,dur_40ms,40,0.6628865979381443,970,485,485
baseline,duration,dur_500ms,500,0.6556701030927835,970,485,485
baseline,duration,dur_60ms,60,0.6938144329896907,970,485,485
baseline,duration,dur_80ms,80,0.6979381443298969,970,485,485
baseline,filter,filter_bandpass,bandpass,0.6030927835051546,970,485,485
baseline,filter,filter_highpass,highpass,0.6659793814432989,970,485,485
baseline,filter,filter_lowpass,lowpass,0.5721649484536082,970,485,485
baseline,filter,filter_none,none,0.6350515463917525,970,485,485
baseline,reverb,reverb_0.3s,0.3,0.6381443298969072,970,485,485
baseline,reverb,reverb_1.0s,1.0,0.6587628865979381,970,485,485
baseline,reverb,reverb_2.5s,2.5,0.6381443298969072,970,485,485
baseline,reverb,reverb_none,0.0,0.6381443298969072,970,485,485
baseline,snr,snr_-10dB,-10,0.6237113402061856,970,485,485
baseline,snr,snr_-5dB,-5,0.6628865979381443,970,485,485
baseline,snr,snr_0dB,0,0.6432989690721649,970,485,485
baseline,snr,snr_10dB,10,0.609278350515464,970,485,485
baseline,snr,snr_20dB,20,0.6010309278350515,970,485,485
baseline,snr,snr_5dB,5,0.6298969072164948,970,485,485
base_opro_classic,duration,dur_1000ms,1000,0.9288659793814433,970,485,485
base_opro_classic,duration,dur_100ms,100,0.8381443298969072,970,485,485
base_opro_classic,duration,dur_200ms,200,0.8721649484536083,970,485,485
base_opro_classic,duration,dur_20ms,20,0.688659793814433,970,485,485
base_opro_classic,duration,dur_40ms,40,0.7618556701030927,970,485,485
base_opro_classic,duration,dur_500ms,500,0.9154639175257733,970,485,485
base_opro_classic,duration,dur_60ms,60,0.8144329896907216,970,485,485
base_opro_classic,duration,dur_80ms,80,0.8072164948453608,970,485,485
base_opro_classic,filter,filter_bandpass,bandpass,0.9278350515463918,970,485,485
base_opro_classic,filter,filter_highpass,highpass,0.920618556701031,970,485,485
base_opro_classic,filter,filter_lowpass,lowpass,0.9360824742268041,970,485,485
base_opro_classic,filter,filter_none,none,0.9288659793814433,970,485,485
base_opro_classic,reverb,reverb_0.3s,0.3,0.9288659793814433,970,485,485
base_opro_classic,reverb,reverb_1.0s,1.0,0.9268041237113402,970,485,485
base_opro_classic,reverb,reverb_2.5s,2.5,0.9278350515463918,970,485,485
base_opro_classic,reverb,reverb_none,0.0,0.9278350515463918,970,485,485
base_opro_classic,snr,snr_-10dB,-10,0.9010309278350515,970,485,485
base_opro_classic,snr,snr_-5dB,-5,0.8896907216494845,970,485,485
base_opro_classic,snr,snr_0dB,0,0.877319587628866,970,485,485
base_opro_classic,snr,snr_10dB,10,0.8876288659793814,970,485,485
base_opro_classic,snr,snr_20dB,20,0.8969072164948453,970,485,485
base_opro_classic,snr,snr_5dB,5,0.8824742268041237,970,485,485
lora_hand,duration,dur_1000ms,1000,0.9381443298969072,970,485,485
lora_hand,duration,dur_100ms,100,0.9082474226804124,970,485,485
lora_hand,duration,dur_200ms,200,0.9216494845360825,970,485,485
lora_hand,duration,dur_20ms,20,0.8092783505154639,970,485,485
lora_hand,duration,dur_40ms,40,0.8484536082474227,970,485,485
lora_hand,duration,dur_500ms,500,0.9515463917525773,970,485,485
lora_hand,duration,dur_60ms,60,0.8731958762886598,970,485,485
lora_hand,duration,dur_80ms,80,0.8804123711340206,970,485,485
lora_hand,filter,filter_bandpass,bandpass,0.9432989690721649,970,485,485
lora_hand,filter,filter_highpass,highpass,0.9371134020618557,970,485,485
lora_hand,filter,filter_lowpass,lowpass,0.9412371134020618,970,485,485
lora_hand,filter,filter_none,none,0.9360824742268041,970,485,485
lora_hand,reverb,reverb_0.3s,0.3,0.9381443298969072,970,485,485
lora_hand,reverb,reverb_1.0s,1.0,0.9360824742268041,970,485,485
lora_hand,reverb,reverb_2.5s,2.5,0.9360824742268041,970,485,485
lora_hand,reverb,reverb_none,0.0,0.9381443298969072,970,485,485
lora_hand,snr,snr_-10dB,-10,0.9711340206185567,970,485,485
lora_hand,snr,snr_-5dB,-5,0.9701030927835051,970,485,485
lora_hand,snr,snr_0dB,0,0.9701030927835051,970,485,485
lora_hand,snr,snr_10dB,10,0.9721649484536082,970,485,485
lora_hand,snr,snr_20dB,20,0.9701030927835051,970,485,485
lora_hand,snr,snr_5dB,5,0.9731958762886598,970,485,485
lora_opro_classic,duration,dur_1000ms,1000,0.9608247422680412,970,485,485
lora_opro_classic,duration,dur_100ms,100,0.9216494845360825,970,485,485
lora_opro_classic,duration,dur_200ms,200,0.9432989690721649,970,485,485
lora_opro_classic,duration,dur_20ms,20,0.8247422680412371,970,485,485
lora_opro_classic,duration,dur_40ms,40,0.8608247422680413,970,485,485
lora_opro_classic,duration,dur_500ms,500,0.9742268041237113,970,485,485
lora_opro_classic,duration,dur_60ms,60,0.8958762886597939,970,485,485
lora_opro_classic,duration,dur_80ms,80,0.9092783505154639,970,485,485
lora_opro_classic,filter,filter_bandpass,bandpass,0.965979381443299,970,485,485
lora_opro_classic,filter,filter_highpass,highpass,0.9628865979381444,970,485,485
lora_opro_classic,filter,filter_lowpass,lowpass,0.9680412371134021,970,485,485
lora_opro_classic,filter,filter_none,none,0.9597938144329896,970,485,485
lora_opro_classic,reverb,reverb_0.3s,0.3,0.9649484536082474,970,485,485
lora_opro_classic,reverb,reverb_1.0s,1.0,0.9587628865979381,970,485,485
lora_opro_classic,reverb,reverb_2.5s,2.5,0.9649484536082474,970,485,485
lora_opro_classic,reverb,reverb_none,0.0,0.9628865979381444,970,485,485
lora_opro_classic,snr,snr_-10dB,-10,0.9742268041237113,970,485,485
lora_opro_classic,snr,snr_-5dB,-5,0.9762886597938145,970,485,485
lora_opro_classic,snr,snr_0dB,0,0.9793814432989691,970,485,485
lora_opro_classic,snr,snr_10dB,10,0.9824742268041238,970,485,485
lora_opro_classic,snr,snr_20dB,20,0.9845360824742269,970,485,485
lora_opro_classic,snr,snr_5dB,5,0.9824742268041238,970,485,485
lora_opro_open,duration,dur_1000ms,1000,0.9577319587628865,970,485,485
lora_opro_open,duration,dur_100ms,100,0.9216494845360825,970,485,485
lora_opro_open,duration,dur_200ms,200,0.9432989690721649,970,485,485
lora_opro_open,duration,dur_20ms,20,0.8247422680412371,970,485,485
lora_opro_open,duration,dur_40ms,40,0.8608247422680413,970,485,485
lora_opro_open,duration,dur_500ms,500,0.9731958762886598,970,485,485
lora_opro_open,duration,dur_60ms,60,0.8958762886597939,970,485,485
lora_opro_open,duration,dur_80ms,80,0.9092783505154639,970,485,485
lora_opro_open,filter,filter_bandpass,bandpass,0.9639175257731959,970,485,485
lora_opro_open,filter,filter_highpass,highpass,0.9608247422680412,970,485,485
lora_opro_open,filter,filter_lowpass,lowpass,0.965979381443299,970,485,485
lora_opro_open,filter,filter_none,none,0.956701030927835,970,485,485
lora_opro_open,reverb,reverb_0.3s,0.3,0.9618556701030928,970,485,485
lora_opro_open,reverb,reverb_1.0s,1.0,0.9587628865979381,970,485,485
lora_opro_open,reverb,reverb_2.5s,2.5,0.9618556701030928,970,485,485
lora_opro_open,reverb,reverb_none,0.0,0.9597938144329896,970,485,485
lora_opro_open,snr,snr_-10dB,-10,0.9742268041237113,970,485,485
lora_opro_open,snr,snr_-5dB,-5,0.9762886597938145,970,485,485
lora_opro_open,snr,snr_0dB,0,0.9793814432989691,970,485,485
lora_opro_open,snr,snr_10dB,10,0.9824742268041238,970,485,485
lora_opro_open,snr,snr_20dB,20,0.9814432989690722,970,485,485
lora_opro_open,snr,snr_5dB,5,0.9824742268041238,970,485,485
