condition,variant_type,n_total,n_speech,n_nonspeech,prop_speech,prop_nonspeech
dur_1000ms,duration,970,485,485,0.5,0.5
dur_100ms,duration,970,485,485,0.5,0.5
dur_200ms,duration,970,485,485,0.5,0.5
dur_20ms,duration,970,485,485,0.5,0.5
dur_40ms,duration,970,485,485,0.5,0.5
dur_500ms,duration,970,485,485,0.5,0.5
dur_60ms,duration,970,485,485,0.5,0.5
dur_80ms,duration,970,485,485,0.5,0.5
filter_bandpass,filter,970,485,485,0.5,0.5
filter_highpass,filter,970,485,485,0.5,0.5
filter_lowpass,filter,970,485,485,0.5,0.5
filter_none,filter,970,485,485,0.5,0.5
reverb_0,reverb,970,485,485,0.5,0.5
reverb_1,reverb,970,485,485,0.5,0.5
reverb_2,reverb,970,485,485,0.5,0.5
reverb_none,reverb,970,485,485,0.5,0.5
snr_+0dB,snr,970,485,485,0.5,0.5
snr_+10dB,snr,970,485,485,0.5,0.5
snr_+20dB,snr,970,485,485,0.5,0.5
snr_+5dB,snr,970,485,485,0.5,0.5
snr_-10dB,snr,970,485,485,0.5,0.5
snr_-5dB,snr,970,485,485,0.5,0.5
